city,Number of public schools,Number of international schools,Number of univercities,total
Berlin,7.0,14.0,5.0,26.0
Stuttgart,0.0,2.0,1.0,3.0
Munich,0.0,5.0,3.0,8.0
Hamburg,1.0,1.0,3.0,5.0
Cologne,0.0,2.0,2.0,4.0
Frankfurt,0.0,9.0,1.0,10.0
Düsseldorf,0.0,2.0,2.0,4.0
Leipzig,0.0,1.0,1.0,2.0
Dortmund,0.0,0.0,1.0,1.0
Essen,1.0,1.0,0.0,2.0
Bremen,2.0,0.0,1.0,3.0
Bremen,3.0,0.0,1.0,4.0
Bremen,3.0,0.0,1.0,4.0
Dresden,0.0,1.0,1.0,2.0
Hannover,0.0,1.0,0.0,1.0
Nuremberg,0.0,0.0,0.0,0.0
Duisburg,0.0,0.0,0.0,0.0
Bochum,0.0,0.0,1.0,1.0
Wuppertal,0.0,0.0,1.0,1.0
Bielefeld,0.0,0.0,1.0,1.0
Bonn,0.0,2.0,1.0,3.0
Münster,0.0,0.0,1.0,1.0
Mannheim,11.0,0.0,1.0,12.0
Karlsruhe,2.0,0.0,1.0,3.0
Augsburg,0.0,1.0,1.0,2.0
Wiesbaden,1.0,0.0,0.0,1.0
Mönchengladbach,1.0,0.0,0.0,1.0
Gelsenkirchen,0.0,0.0,0.0,0.0
Aachen,1.0,0.0,2.0,3.0
Braunschweig,0.0,0.0,0.0,0.0
Chemnitz,0.0,0.0,1.0,1.0
Kiel,1.0,0.0,2.0,3.0
Halle,5.0,0.0,1.0,6.0
Magdeburg,0.0,0.0,1.0,1.0
Freiburg im Breisgau,3.0,0.0,0.0,3.0
Krefeld,0.0,0.0,0.0,0.0
Mainz,11.0,0.0,2.0,13.0
Lübeck,0.0,0.0,0.0,0.0
Erfurt,0.0,0.0,0.0,0.0
Oberhausen,0.0,0.0,0.0,0.0
Rostock,0.0,0.0,1.0,1.0
Kassel,1.0,0.0,2.0,3.0
Hagen,0.0,0.0,0.0,0.0
Potsdam,1.0,0.0,2.0,3.0
Saarbrücken,0.0,0.0,0.0,0.0
Hamm,1.0,0.0,0.0,1.0
Ludwigshafen,0.0,0.0,0.0,0.0
Mülheim,0.0,0.0,0.0,0.0
Oldenburg,1.0,0.0,3.0,4.0
Osnabrück,0.0,0.0,1.0,1.0
Leverkusen,0.0,0.0,0.0,0.0
Darmstadt,0.0,0.0,1.0,1.0
Solingen,0.0,0.0,0.0,0.0
Heidelberg,2.0,1.0,1.0,4.0
Herne,0.0,0.0,0.0,0.0
Neuss,2.0,1.0,0.0,3.0
Regensburg,2.0,0.0,0.0,2.0
Paderborn,0.0,0.0,1.0,1.0
Ingolstadt,0.0,0.0,0.0,0.0
Fürth,0.0,0.0,0.0,0.0
Würzburg,0.0,0.0,2.0,2.0
Ulm,2.0,0.0,2.0,4.0
Heilbronn,6.0,1.0,0.0,7.0
Pforzheim,11.0,0.0,0.0,11.0
Wolfsburg,0.0,0.0,0.0,0.0
Göttingen,2.0,0.0,1.0,3.0
Bottrop,0.0,0.0,0.0,0.0
Reutlingen,7.0,0.0,0.0,7.0
Koblenz,0.0,0.0,0.0,0.0
Bremerhaven,0.0,0.0,0.0,0.0
Erlangen,0.0,1.0,0.0,1.0
Recklinghausen,0.0,0.0,0.0,0.0
