city,Number of international schools,Rating
Augsburg,1,88.0
Bed Viblbel,2,81.0
Berlin,14,77.35714285714286
Bonn,2,81.5
Cologne,2,81.0
Dresden,1,81.0
Düsseldorf,2,91.5
Erlangen,1,88.0
Erlenbach,1,68.0
Essen,1,54.0
Frankfurt,9,72.33333333333333
Freiburg,1,81.0
Glauchau,1,81.0
Hamburg,1,88.0
Hannover,1,54.0
Heidelberg,1,81.0
Heilbronn,1,81.0
Hennover,1,88.0
Kendern,1,81.0
Kolitzheim,1,95.0
Koln,1,75.0
Leipzig,1,88.0
Munich,5,80.0
Neu-Ulm,1,88.0
Neuss,1,75.0
Salem,1,88.0
Seeheim-Jugenheim,2,50.0
Stuttgart,2,67.0
Weimer,1,88.0
