geo_point_2d;objektkate;objektart;objektname;objektzusa;i_beschr;i_zusinfo;strasse;hausnummer;ort;link;ptl_anschl;p_email;ostwert;hochwert;stadtbeznr;stadtbezbe;statbeznr;statbezibe;ubznr;ubz;sozialrnr;sozialrbe;aktionsrnr;aktionsrbz;kommune
51.51814981173122, 7.513452432171258;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Akazienstraße;2;Dortmund;;;;396858.24999996304;5708495.179999885;3;Brackel;330;Wambel;332;Breierspfad;063;Wambel;;;Dortmund
51.49028981342134, 7.496074501947489;XE_SozialEinrichtung;Kindergarten;Ev. Elias-Kindergarten;;;;Aldinghofer Straße;19;Dortmund;;;;395588.9099999608;5705421.649999877;5;Hörde;530;Hörde;532;Hörde;082;Hörde;082;Hörde;Dortmund
51.55606245282718, 7.484123562362017;XE_SozialEinrichtung;Kindergarten;EI Sonnenkinderhaus e.V.;;;;Alter Heideweg;31;Dortmund;;;;394910.7799999591;5712753.009999871;1;Eving;120;Eving;124;Kemminghausen;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen;Dortmund
51.51054915687789, 7.496323649750928;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Am Ostpark;43;Dortmund;;;;395652.489999961;5707674.229999878;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.550753528788604, 7.53777001545863;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Am Stuckenrodt;2 a;Dortmund;;;;398617.86999996635;5712086.909999896;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;;Dortmund
51.52771558472682, 7.5414206493205285;XE_SozialEinrichtung;Kindergarten;EI Sternschnuppe Kiga Brackel e.V.;;;;Am Westheck;73;Dortmund;;;;398819.88999996654;5709519.899999899;3;Brackel;320;Brackel;322;Westheck;062;Brackel;;;Dortmund
51.56481502464268, 7.383853211974907;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Ammerstraße;50;Dortmund;;;;387981.37999994354;5713875.169999811;9;Mengede;920;Mengede;924;Alte Kolonie;123;Nette;123;Nette;Dortmund
51.50988774270427, 7.512158252227661;XE_SozialEinrichtung;Kindergarten;DRK-Kita Wichtelburg;;;;An der Stipskuhle;44;Dortmund;;;;396749.7799999626;5707578.219999883;30;Innenstadt-Ost;080;Westfalendamm;082;Gartenstadt-Nord;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.49732681391493, 7.561676757583339;XE_SozialEinrichtung;Kindergarten;AWO TEK Aplerbecker Straße;;;;Aplerbecker Straße;484;Dortmund;;;;400158.5499999685;5706112.679999905;4;Aplerbeck;410;Aplerbeck;411;Aplerbecker Straße;071;Aplerbeck;;;Dortmund
51.51461632866037, 7.558629949791109;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Nikolaus v.Flüe;;;;Arcostraße;70;Dortmund;;;;399984.92999996856;5708039.529999905;3;Brackel;320;Brackel;328;Funkturmsiedlung;062;Brackel;;;Dortmund
51.52893405674501, 7.580891765716484;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Joseph;;;;Asselburgstraße;12;Dortmund;;;;401560.45999997086;5709601.559999912;3;Brackel;310;Asseln;312;Asseln Dorf;061;Asseln;;;Dortmund
51.52878093998617, 7.590739348664405;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Arche Asseln;;;;Asselner Hellweg;163;Dortmund;;;;402243.199999972;5709571.329999919;3;Brackel;310;Asseln;313;Asseln Hellweg;061;Asseln;;;Dortmund
51.466720779012164, 7.495289957450953;XE_SozialEinrichtung;Kindergarten;Kath. Kiga Hl. Geist;;;;Auf den Porten;6;Dortmund;;;;395480.57999996044;5702801.789999876;5;Hörde;560;Wellinghofen;561;Wellinghofen;081;Benninghofen/Hacheney/Wellinghofen/Wichlinghofen;;;Dortmund
51.495896387273326, 7.538063588984527;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Bonifatius;;;;Bergparte;2;Dortmund;;;;398516.33999996574;5705986.079999897;4;Aplerbeck;430;Schüren;431;Schüren-Neu;073;Schüren;;;Dortmund
51.49553807642694, 7.538405532150574;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Bergparte;4;Dortmund;;;;398539.27999996574;5705945.759999896;4;Aplerbeck;430;Schüren;431;Schüren-Neu;073;Schüren;;;Dortmund
51.5088597499372, 7.455223706946688;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Beurhausstraße;50;Dortmund;;;;392796.54999995476;5707545.7599998545;10;Innenstadt-West;000;City;003;Cityring-West;011;City;;;Dortmund
51.53584708097622, 7.552088904104674;XE_SozialEinrichtung;Kindergarten;Caritas-TEK St. Augustinus;;;;Oester Straße;135;Dortmund;;;;399577.7955861358;5710409.47266638;3;Brackel;320;Brackel;321;Brackeler Feld;062;Brackel;;;Dortmund
51.5404945143381, 7.371391201145945;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Biehleweg;29;Dortmund;;;;387057.43999994127;5711189.789999801;9;Mengede;960;Westerfilde;960;Westerfilde;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;Dortmund
51.56134920136333, 7.3752099532885715;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Breisenbachstraße;24;Dortmund;;;;387373.76999994216;5713503.029999805;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;;Dortmund
51.57451038484037, 7.381217023582724;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Remigius;;;;Burgring;35;Dortmund;;;;387822.5399999433;5714957.379999807;9;Mengede;920;Mengede;923;Mengede-Mitte;122;Mengede/Oestrich/Schwieringhausen;;;Dortmund
51.56293007252949, 7.365795455799108;XE_SozialEinrichtung;Kindergarten;DRK-Kita Schatzkiste;;;;Castroper Straße;162;Dortmund;;;;386725.1499999404;5713693.369999797;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;;Dortmund
51.481598212739904, 7.504627717305555;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Clarenberg;35-37;Dortmund;;;;396162.949999962;5704442.939999881;5;Hörde;530;Hörde;535;Clarenberg;082;Hörde;082;Hörde;Dortmund
51.545866182076765, 7.428917536753971;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Deusen;;;;Deusener Straße;201 a;Dortmund;;;;391059.43999995105;5711699.899999841;8;Huckarde;810;Deusen;810;Deusen;111;Deusen/Huckarde;;;Dortmund
51.557324861212095, 7.540494754389633;XE_SozialEinrichtung;Kindergarten;DRK-Kiga Wilde Wiese;;;;Droote;22-24;Dortmund;;;;398821.35999996634;5712813.909999897;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost;Dortmund
51.50290661376878, 7.528381469120725;XE_SozialEinrichtung;Kindergarten;Kiga Wirbelwind Dtm. Turngemeinde;;;;Dubliner Weg;8;Dortmund;;;;397859.9399999648;5706779.119999892;4;Aplerbeck;430;Schüren;431;Schüren-Neu;073;Schüren;;;Dortmund
51.52569095480069, 7.478607034732357;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Dürener Straße;60;Dortmund;;;;394458.1199999585;5709383.479999868;20;Innenstadt-Nord;060;Borsigplatz;061;Borsigplatz;023;Borsigplatz;023;Borsigplatz;Dortmund
51.456721287417885, 7.458028396077458;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Patrokli;;;;Dyckhoffsweg;24;Dortmund;;;;392869.0599999552;5701743.649999859;6;Hombruch;670;Kirchhörde-Löttringhausen;674;Kirchhörde-Ost;093;Kirchhörde/Löttringhausen/Lücklemberg;;;Dortmund
51.53824171495847, 7.615295293111122;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Ebbinghausstraße;53;Dortmund;;;;403966.41999997426;5710590.909999926;3;Brackel;340;Wickede;342;Wickede Dorf;064;Wickede;;;Dortmund
51.5335091232674, 7.461713980893522;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Eberstraße;39;Dortmund;;;;393304.55999995617;5710277.39999986;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;Nordmarkt;Dortmund
51.47253600501669, 7.597809849054774;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Edelrosenstraße;16;Dortmund;;;;402613.8199999723;5703307.139999918;4;Aplerbeck;450;Sölderholz;452;Lichtendorf;074;Sölde/Sölderholz;;;Dortmund
51.50882672017281, 7.464218579727087;XE_SozialEinrichtung;Kindergarten;AWO TEK Elisabethstraße;;;;Elisabethstraße;6a;Dortmund;;;;393420.6599999565;5707528.94999986;10;Innenstadt-West;000;City;003;Cityring-West;011;City;;;Dortmund
51.562212749044534, 7.415449085060615;XE_SozialEinrichtung;Kindergarten;EI Gut Königsmühle;;;;Ellinghauser Straße;309;Dortmund;;;;390164.9599999491;5713537.859999834;9;Mengede;950;Schwieringhausen;953;Ellinghausen;122;Mengede/Oestrich/Schwieringhausen;;;Dortmund
51.49462914031568, 7.413382232877676;XE_SozialEinrichtung;Kindergarten;EI HoKiDO e.V.;;;;Emil-Figge-Straße;57;Dortmund;;;;389858.7199999486;5706025.379999831;6;Hombruch;640;Eichlinghofen;642;Universität;091;Barop/Brünninghausen/Hombruch;;;Dortmund
51.55359835416401, 7.46629208215463;XE_SozialEinrichtung;Kindergarten;AWO TEK Evinger Parkweg;;;;Evinger Parkweg;8;Dortmund;;;;393668.9199999568;5712504.759999861;1;Eving;120;Eving;122;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen;Dortmund
51.580898447453535, 7.46196563261229;XE_SozialEinrichtung;Kindergarten;EI Rappelkiste e.V.;;;;Evinger Straße;600;Dortmund;;;;393432.8399999562;5715546.979999861;1;Eving;110;Brechten;111;Brechten-Nord;041;Brechten/Holthausen;;;Dortmund
51.553714923007426, 7.468056197190316;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Externberg;14;Dortmund;;;;393791.4899999574;5712515.159999863;1;Eving;120;Eving;122;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen;Dortmund
51.4759763844371, 7.531491340792024;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Berghofen;;;;Fasanenweg;20;Dortmund;;;;398015.69999996526;5703780.009999894;4;Aplerbeck;420;Berghofen;421;Berghofen Dorf;072;Berghofen;;;Dortmund
51.5030254721772, 7.409507715917795;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Eliaskinder in Oberdorstfeld;;;;Fine Frau;10;Dortmund;;;;389610.0599999478;5706964.919999829;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;014;Dorstfeld;014;Dorstfeld;Dortmund
51.49778076590716, 7.471652969936691;XE_SozialEinrichtung;Kindergarten;Kita Concept Kita Wölkchen am Westfalenpark;;;;Florianstraße;15-21;Dortmund;;;;393910.9099999574;5706289.789999865;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;;Dortmund
51.51293554359355, 7.488403330266083;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Franziskus (2 Gruppen);;;;Franziskanerstraße;3;Dortmund;;;;395108.36999995983;5707950.929999872;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.55702500002608, 7.473657567660087;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Fröbelweg;1-3;Dortmund;;;;394187.48999995814;5712875.139999865;1;Eving;120;Eving;122;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen;Dortmund
