city,Number of schools
Aachen,1
Wiesbaden,1
Rosenheim,21
Bad Soden am Taunus,1
Hamm,1
Kassel,1
Bremen,2
Mönchengladbach,1
Herten,1
Halle,5
Esslingen,1
Esslingen,1
Bremen,3
Freiburg im Breisgau,3
Heidelberg,2
Heilbronn,6
Karlsruhe,2
Kronshagen,1
Neuss,2
Kornwestheim,1
Altbach,1
Kaiserslautern,1
Oldenburg,1
Ludwigsburg,6
Mannheim,11
Asperg,1
Regensburg,2
Bremen,3
Reutlingen,7
Pforzheim,11
Obertshausen,1
Kiel,1
Potsdam,1
Altbach,1
Puchheim,1
Hamburg,1
Schwerin,3
Siegen,5
Rosenheim,8
Göttingen,2
Ulm,2
Berlin,7
Essen,1
Ludwigsburg,6
Mainz,11
