GENESIS-Tabelle: 21111-0001
Schüler, Schulanfänger, Absolventen und Abgänger:;;;;
Deutschland, Schuljahr, Geschlecht;;;;
Statistik der allgemeinbildenden Schulen;;;;
Deutschland;;;;
;;Schüler;Schulanfänger;Absolventen und Abgänger
;;Anzahl;Anzahl;Anzahl
männlich;1997/98;-;-;472121
männlich;1998/99;5137615;-;475949
männlich;1999/00;5110026;429889;476066
männlich;2000/01;5062891;419055;473494
männlich;2001/02;5016905;401771;476530
männlich;2002/03;4969732;413783;483269
männlich;2003/04;4941969;433303;500920
männlich;2004/05;4889799;422289;488378
männlich;2005/06;4827968;424437;495349
männlich;2006/07;4752521;408918;490750
männlich;2007/08;4665698;398784;470905
männlich;2008/09;4585692;378522;450770
männlich;2009/10;4530217;374087;438204
männlich;2010/11;4478503;364664;445008
männlich;2011/12;4422817;365843;439463
männlich;2012/13;4365544;353700;452410
männlich;2013/14;4300144;355311;433207
männlich;2014/15;4273386;365108;432245
männlich;2015/16;4260021;361952;437367
männlich;2016/17;4287541;370560;428564
männlich;2017/18;4271084;372661;420072
männlich;2018/19;4257975;374094;411765
männlich;2019/20;4252413;377226;386082
männlich;2020/21;4273854;384057;393046
männlich;2021/22;4298584;394789;392165
männlich;2022/23;4428296;416635;-
weiblich;1997/98;-;-;447945
weiblich;1998/99;4970026;-;456546
weiblich;1999/00;4938369;406248;457550
weiblich;2000/01;4897556;392900;453358
weiblich;2001/02;4853540;378984;459877
weiblich;2002/03;4810545;391751;464618
weiblich;2003/04;4785065;410510;485397
weiblich;2004/05;4735055;398385;470107
weiblich;2005/06;4677273;397879;474249
weiblich;2006/07;4603336;384181;474294
weiblich;2007/08;4518113;373941;458626
weiblich;2008/09;4437880;356794;442791
weiblich;2009/10;4375583;352297;427112
weiblich;2010/11;4318391;342794;437905
weiblich;2011/12;4255379;345197;429327
weiblich;2012/13;4191335;334095;442924
weiblich;2013/14;4119967;334425;417514
weiblich;2014/15;4093280;345726;414067
weiblich;2015/16;4075040;342173;418244
weiblich;2016/17;4081972;350173;403243
weiblich;2017/18;4075623;352596;392094
weiblich;2018/19;4072479;354243;389046
weiblich;2019/20;4074471;356217;363864
weiblich;2020/21;4106913;365763;375145
weiblich;2021/22;4137634;375890;377246
weiblich;2022/23;4265053;396910;-
Insgesamt;1997/98;-;-;920066
Insgesamt;1998/99;10107641;-;932495
Insgesamt;1999/00;10048395;836137;933616
Insgesamt;2000/01;9960447;811955;926852
Insgesamt;2001/02;9870445;780755;936407
Insgesamt;2002/03;9780277;805534;947887
Insgesamt;2003/04;9727034;843813;986317
Insgesamt;2004/05;9624854;820674;958485
Insgesamt;2005/06;9505241;822316;969598
Insgesamt;2006/07;9355857;793099;965044
Insgesamt;2007/08;9183811;772725;929531
Insgesamt;2008/09;9023572;735316;893561
Insgesamt;2009/10;8905800;726384;865316
Insgesamt;2010/11;8796894;707458;882913
Insgesamt;2011/12;8678196;711040;868790
Insgesamt;2012/13;8556879;687795;895334
Insgesamt;2013/14;8420111;689736;850721
Insgesamt;2014/15;8366666;710834;846312
Insgesamt;2015/16;8335061;704125;855611
Insgesamt;2016/17;8369513;720733;831807
Insgesamt;2017/18;8346707;725257;812166
Insgesamt;2018/19;8330457;728334;800811
Insgesamt;2019/20;8326884;733443;749946
Insgesamt;2020/21;8380767;749820;768191
Insgesamt;2021/22;8436221;770682;769411
Insgesamt;2022/23;8693344;813540;-
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 31.03.2024 / 00:43:53
