FID,geom,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,building,building:levels,name,roof:shape,type,website,wikidata,osm_id,osm_type,editlink,tutoriallink,email,fax,phone,site,wheelchair,contact:website,isced:level,ref,school:de,source,source:position,addr:suburb,operator,contact:email,contact:facebook,contact:fax,contact:phone,toilets:wheelchair,note,old_name,old_website,operator:type,short_name,wikipedia,addr:place,religion,grades,landuse,alt_name,url,barrier,denomination,name:etymology:wikidata,building:roof,wikimedia_commons,leisure,sport,source:geometry,created_by,check_date,loc_name,fixme,name:etymology:wikipedia,start_date,postal_code,opening_hours,wheelchair:description,building:roof:colour,roof:levels,source:housenumber,description,heritage:website,historic,removed:phone,addr:housename,school,building:first_floor_high,building:waterproof_bulk,source:addr,height,source:address,building:colour,name:en,gesamtschule,surface,construction,fee,operator:website,contact:instagram,internet_access,roof:colour,school:gender,designation,orientierungsstufe,wikipedia:de,building:energy_standard,comment,min_age,polling_station,shelter,access,access:conditional,layer,ele,building:part,name:de,name:lt,level,last_check,office,tennant,sub_ref
OSM_MRN_amenity_school_4326_Point.1,POINT (8.413047064285715 49.31512364999999),Speyer,DE,2,67346,Butenschönstraße,school,yes,2,Staatliches Pfalz-Kolleg und -Abendgymnasium Speyer,flat,multipolygon,https://www.pfalz-kolleg.de/,Q116317539,371121,relation,https://www.openstreetmap.org/relation/371121,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.2,POINT (9.103900769014086 49.34523195352112),,,,,,school,,,August-Pattberg-Gymnasium,,site,,,1650928,relation,https://www.openstreetmap.org/relation/1650928,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.3,POINT (8.326587145856355 49.60847282762435),,,,,,school,,,Nells-Sachs-Integrierte Gesamtschule Worms,,site,https://nelly-sachs-igs.de,,1863648,relation,https://www.openstreetmap.org/relation/1863648,https://learnosm.org/de/beginner/,sekretariat@nelly-sachs-igs.de,+49 6241 8534829,+49 6241 8534800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.4,POINT (8.34576289859155 49.531702114084474),,,,,,school,,,Andreas-Albert-Schule,,site,,,2102920,relation,https://www.openstreetmap.org/relation/2102920,https://learnosm.org/de/beginner/,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.5,POINT (8.224964823333332 49.27914138000001),Böbingen,DE,,67482,In den Feldern,school,,,Grundschule Böbingen/Gommersheim,,site,http://schule.inka.de/gaeuschule,,2138394,relation,https://www.openstreetmap.org/relation/2138394,https://learnosm.org/de/beginner/,,,+49 6327 2237,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.6,POINT (8.358534791044777 49.54793647014925),,,,,,school,,,Lessingschule Grundschule,,site,,,2175828,relation,https://www.openstreetmap.org/relation/2175828,https://learnosm.org/de/beginner/,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.7,POINT (8.80887556 49.44174765999999),Schönau,,33,69250,Weinheimer Straße,school,school,,Carl-Freudenberg-Schule,,multipolygon,,,2926213,relation,https://www.openstreetmap.org/relation/2926213,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.8,POINT (8.474269575000001 49.549470674999995),,,,,,school,school,,Unterrichtsgebäude,,multipolygon,,,3202737,relation,https://www.openstreetmap.org/relation/3202737,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.9,POINT (8.992506012121213 49.47888861212121),Eberbach,DE,105,69412,Steigestraße,school,school,,Gemeinschaftsschule Eberbach,,multipolygon,,,3376519,relation,https://www.openstreetmap.org/relation/3376519,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.10,POINT (8.668698057142858 49.54987665714286),,,,,,school,,,Pestalozzi-Grundschule,,,,,3429385,way,https://www.openstreetmap.org/way/3429385,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
