city,Total students,University
Bielefeld,25896.0,Bielefeld University
Brandenburg,24360.6,Brandenburg University of Technology
Oldenburg,22825.2,Carl von Ossietzky University of Oldenburg
Chemnitz,21289.8,Chemnitz University of Technology
Düsseldorf,19754.4,Düsseldorf Art Academy
Jena,18219.0,Friedrich Schiller University Jena
Berlin,27859.666666666664,Free University of Berlin
Freiberg,37500.33333333333,Freiberg University of Mining and Technology
Frankfurt,47141.0,Goethe University Frankfurt
Hamburg,37928.666666666664,Hamburg University of Technology
Hamburg,28716.333333333332,Hannover Medical School
Heidelberg,19504.0,Heidelberg University
Berlin,23642.333333333332,Humboldt University of Berlin
Berlin,27780.666666666664,Jacobs University
Mainz,31919.0,Johannes Gutenberg University Mainz
Mainz,28575.0,Justus Liebig University Giessen
Karlsruhe,27255.0,Karlsruhe Institute of Technology
Kiel,26412.0,Kiel University
Kiel,24083.0,Leibniz University Hannover
Leipzig,31088.0,Leipzig University
Lüneburg,27629.8,Leuphana University of Lüneburg
Munich,24171.6,Ludwig Maximilian University of Munich
Halle,20713.4,Martin Luther University Halle-Wittenberg
Osnabrück,17255.2,Osnabrück University
Magdeburg,13797.0,Otto von Guericke University Magdeburg
Paderborn,28406.0,Paderborn University
Bochum,43015.0,Ruhr University Bochum
Aachen,44699.0,RWTH Aachen University
Aachen,33660.5,Saarland University
Berlin,22622.0,Technical University of Berlin
Berlin,20020.0,Technical University of Braunschweig
Darmstadt,17814.0,Technical University of Darmstadt
Dortmund,34267.0,Technical University of Dortmund
Dresden,31095.0,Technical University of Dresden
Ilmenau,34965.0,Technical University of Ilmenau
Kaiserslautern,38835.0,Technical University of Kaiserslautern
Munich,42705.0,Technical University of Munich
Ulm,10284.0,Ulm University
Ulm,38111.0,University of Erlangen–Nuremberg
Augsburg,23326.5,University of Augsburg
Bayreuth,8542.0,University of Bayreuth
Bonn,38043.0,University of Bonn
Bremen,17771.0,University of Bremen
Cologne,36965.0,University of Cologne
Cologne,42022.0,University of Duisburg-Essen
Düsseldorf,36569.0,University of Düsseldorf
Freiburg,21475.0,University of Freiburg
Göttingen,30773.0,University of Göttingen
Greifswald,19885.0,University of Greifswald
Greifswald,8997.0,University of Hohenheim
Hamburg,31517.0,University of Hamburg
Kassel,24747.0,University of Kassel
Kassel,17977.0,University of Koblenz-Landau
Konstanz,11207.0,University of Konstanz
Schleswig,16300.333333333332,University of Lübeck
Mannheim,21393.666666666664,University of Mannheim
Marburg,26487.0,University of Marburg
Munich,36436.0,University of Munich
Münster,32791.0,University of Münster
Oldenburg,28548.333333333332,University of Oldenburg
Oldenburg,24305.666666666664,University of Osnabrueck
Potsdam,20063.0,University of Potsdam
Potsdam,21548.25,University of Regensburg
Rostock,23033.5,University of Rostock
Siegen,24518.75,University of Siegen
Stuttgart,26004.0,University of Stuttgart
Trier,26952.5,University of Trier
Tübingen,27901.0,University of Tübingen
Hanover,25622.0,University of Veterinary Medicine Hanover
Wuppertal,23343.0,University of Wuppertal
Würzburg,22895.0,University of Würzburg
Würzburg,22895.0,Witten/Herdecke University
