year,age group,count
2022,under 20,2060
2021,under 20,1994
2020,under 20,1840
2019,under 20,1927
2018,under 20,2000
2017,under 20,1968
2016,under 20,1829
2015,under 20,1812
2014,under 20,1733
2013,under 20,1619
2012,under 20,1716
2011,under 20,1737
2010,under 20,1733
2009,under 20,1866
2008,under 20,2134
2007,under 20,1992
2006,under 20,1944
2005,under 20,2079
2004,under 20,2211
2003,under 20,2428
2002,under 20,2782
2001,under 20,3209
2000,under 20,3166
1999,under 20,3180
1998,under 20,3113
1997,under 20,2992
1996,under 20,3055
1995,under 20,3310
1994,under 20,3592
1993,under 20,3820
1992,under 20,4467
1991,under 20,5059
1990,under 20,5637
2022,20-25,10313
2021,20-25,10269
2020,20-25,9602
2019,20-25,9692
2018,20-25,9730
2017,20-25,9642
2016,20-25,9303
2015,20-25,9248
2014,20-25,9268
2013,20-25,9176
2012,20-25,9474
2011,20-25,9569
2010,20-25,9168
2009,20-25,8640
2008,20-25,9368
2007,20-25,9071
2006,20-25,8893
2005,20-25,9033
2004,20-25,9761
2003,20-25,10093
2002,20-25,10653
2001,20-25,11022
2000,20-25,10843
1999,20-25,10285
1998,20-25,10221
1997,20-25,10176
1996,20-25,10614
1995,20-25,11753
1994,20-25,12839
1993,20-25,14911
1992,20-25,17738
1991,20-25,19312
1990,20-25,20114
2022,25-30,14236
2021,25-30,13912
2020,25-30,13451
2019,25-30,13911
2018,25-30,13903
2017,25-30,14050
2016,25-30,13252
2015,25-30,12786
2014,25-30,11945
2013,25-30,11429
2012,25-30,11432
2011,25-30,11352
2010,25-30,10899
2009,25-30,10743
2008,25-30,11130
2007,25-30,10815
2006,25-30,10808
2005,25-30,10869
2004,25-30,11041
2003,25-30,11363
2002,25-30,11982
2001,25-30,12902
2000,25-30,13767
1999,25-30,14334
1998,25-30,15774
1997,25-30,16700
1996,25-30,17655
1995,25-30,18803
1994,25-30,20092
1993,25-30,21340
1992,25-30,22441
1991,25-30,21992
1990,25-30,20791
2022,30-40,29683
2021,30-40,28895
2020,30-40,27870
2019,30-40,27721
2018,30-40,26859
2017,30-40,26027
2016,30-40,24466
2015,30-40,23485
2014,30-40,22720
2013,30-40,21957
2012,30-40,22159
2011,30-40,22389
2010,30-40,22212
2009,30-40,22761
2008,30-40,24800
2007,30-40,26101
2006,30-40,27900
2005,30-40,29832
2004,30-40,32054
2003,30-40,34584
2002,30-40,37188
2001,30-40,39165
2000,30-40,40583
1999,30-40,40611
1998,30-40,40093
1997,30-40,39596
1996,30-40,38744
1995,30-40,38172
1994,30-40,37346
1993,30-40,37146
1992,30-40,37459
1991,30-40,36060
1990,30-40,33630
2022,40-50,26292
2021,40-50,25915
2020,40-50,25923
2019,40-50,26446
2018,40-50,27535
2017,40-50,28775
2016,40-50,29448
2015,40-50,30472
2014,40-50,31797
2013,40-50,32789
2012,40-50,34312
2011,40-50,35256
2010,40-50,35160
2009,40-50,35747
2008,40-50,36712
2007,40-50,35808
2006,40-50,34741
2005,40-50,34317
2004,40-50,33897
2003,40-50,33865
2002,40-50,33813
2001,40-50,33469
2000,40-50,32476
1999,40-50,31573
1998,40-50,30831
1997,40-50,30488
1996,40-50,30271
1995,40-50,29456
1994,40-50,29457
1993,40-50,30763
1992,40-50,31856
1991,40-50,32452
1990,40-50,32638
2022,50-55,16562
2021,50-55,17447
2020,50-55,18064
2019,50-55,18585
2018,50-55,19022
2017,50-55,19065
2016,50-55,18423
2015,50-55,18258
2014,50-55,17800
2013,50-55,16849
2012,50-55,16585
2011,50-55,15867
2010,50-55,14818
2009,50-55,14290
2008,50-55,13951
2007,50-55,13041
2006,50-55,12595
2005,50-55,12401
2004,50-55,12673
2003,50-55,13103
2002,50-55,13367
2001,50-55,13564
2000,50-55,12893
1999,50-55,12374
1998,50-55,12635
1997,50-55,13006
1996,50-55,13861
1995,50-55,15410
1994,50-55,16915
1993,50-55,18104
1992,50-55,19191
1991,50-55,19227
1990,50-55,18869
2022,55-60,18027
2021,55-60,17536
2020,55-60,17371
2019,55-60,16871
2018,55-60,16295
2017,55-60,15767
2016,55-60,14854
2015,55-60,14001
2014,55-60,13324
2013,55-60,12369
2012,55-60,11725
2011,55-60,11352
2010,55-60,10799
2009,55-60,10844
2008,55-60,10671
2007,55-60,10224
2006,55-60,9904
2005,55-60,9462
2004,55-60,9199
2003,55-60,9561
2002,55-60,9849
2001,55-60,10300
2000,55-60,11351
1999,55-60,12068
1998,55-60,12720
1997,55-60,13242
1996,55-60,13437
1995,55-60,13317
1994,55-60,13576
1993,55-60,13536
1992,55-60,13633
1991,55-60,13083
1990,55-60,12269
2022,60-65,11675
2021,60-65,10966
2020,60-65,10475
2019,60-65,9848
2018,60-65,9106
2017,60-65,8206
2016,60-65,7574
2015,60-65,7057
2014,60-65,6974
2013,60-65,6371
2012,60-65,5888
2011,60-65,5464
2010,60-65,4916
2009,60-65,4616
2008,60-65,4308
2007,60-65,3954
2006,60-65,3608
2005,60-65,3788
2004,60-65,3884
2003,60-65,3865
2002,60-65,3945
2001,60-65,3729
2000,60-65,3540
1999,60-65,3351
1998,60-65,3065
1997,60-65,3064
1996,60-65,3091
1995,60-65,2859
1994,60-65,2730
1993,60-65,2898
1992,60-65,3312
1991,60-65,3384
1990,60-65,3243
2022,over 65,2114
2021,over 65,1829
2020,over 65,1748
2019,over 65,1633
2018,over 65,1460
2017,over 65,1301
2016,over 65,1154
2015,over 65,1017
2014,over 65,866
2013,over 65,835
2012,over 65,810
2011,over 65,714
2010,over 65,704
2009,over 65,709
2008,over 65,692
2007,over 65,661
2006,over 65,638
2005,over 65,656
2004,over 65,737
2003,over 65,763
2002,over 65,780
2001,over 65,723
2000,over 65,621
1999,over 65,547
1998,over 65,477
1997,over 65,500
1996,over 65,498
1995,over 65,542
1994,over 65,589
1993,over 65,609
1992,over 65,920
1991,over 65,671
1990,over 65,750
