JAHR;BESCHAEFTIGTE_GESAMT;UNTER_20;20-25;25-30;30-40;40-50;50-55;55-60;60-65;UEBER_65
2022;130962;2060;10313;14236;29683;26292;16562;18027;11675;2114
2021;128763;1994;10269;13912;28895;25915;17447;17536;10966;1829
2020;126344;1840;9602;13451;27870;25923;18064;17371;10475;1748
2019;126634;1927;9692;13911;27721;26446;18585;16871;9848;1633
2018;125910;2000;9730;13903;26859;27535;19022;16295;9106;1460
2017;124801;1968;9642;14050;26027;28775;19065;15767;8206;1301
2016;120303;1829;9303;13252;24466;29448;18423;14854;7574;1154
2015;118136;1812;9248;12786;23485;30472;18258;14001;7057;1017
2014;116427;1733;9268;11945;22720;31797;17800;13324;6974;866
2013;113394;1619;9176;11429;21957;32789;16849;12369;6371;835
2012;114101;1716;9474;11432;22159;34312;16585;11725;5888;810
2011;113700;1737;9569;11352;22389;35256;15867;11352;5464;714
2010;110409;1733;9168;10899;22212;35160;14818;10799;4916;704
2009;110216;1866;8640;10743;22761;35747;14290;10844;4616;709
2008;113766;2134;9368;11130;24800;36712;13951;10671;4308;692
2007;111667;1992;9071;10815;26101;35808;13041;10224;3954;661
2006;111031;1944;8893;10808;27900;34741;12595;9904;3608;638
2005;112437;2079;9033;10869;29832;34317;12401;9462;3788;656
2004;115457;2211;9761;11041;32054;33897;12673;9199;3884;737
2003;119625;2428;10093;11363;34584;33865;13103;9561;3865;763
2002;124359;2782;10653;11982;37188;33813;13367;9849;3945;780
2001;128083;3209;11022;12902;39165;33469;13564;10300;3729;723
2000;129240;3166;10843;13767;40583;32476;12893;11351;3540;621
1999;128323;3180;10285;14334;40611;31573;12374;12068;3351;547
1998;128929;3113;10221;15774;40093;30831;12635;12720;3065;477
1997;129764;2992;10176;16700;39596;30488;13006;13242;3064;500
1996;131226;3055;10614;17655;38744;30271;13861;13437;3091;498
1995;133622;3310;11753;18803;38172;29456;15410;13317;2859;542
1994;137136;3592;12839;20092;37346;29457;16915;13576;2730;589
1993;143127;3820;14911;21340;37146;30763;18104;13536;2898;609
1992;151017;4467;17738;22441;37459;31856;19191;13633;3312;920
1991;151240;5059;19312;21992;36060;32452;19227;13083;3384;671
1990;147941;5637;20114;20791;33630;32638;18869;12269;3243;750
