,State,Extreme Maximum Temperature,Extreme Maximum Location,Extreme Maximum Date,Extreme Minimum Temperature,Extreme Minimum Location,Extreme Minimum Date,Extreme By Both Temperature
0,Baden-Württemberg,40.3 °C (104.5 °F),Bad Mergentheim,July 20 2022,−36.1 °C (−33.0 °F),Doline Degerfeld Albstadt,March 1 2005,76.4 / 137.5
1,Bavaria,40.3 °C (104.5 °F),Kitzingen,August 7 2015,−45.9 °C (−50.6 °F),Funtensee,December 24 2001,86.2 / 155.1
2,Berlin,38.9 °C (102.0 °F),Kaniswall District of Treptow-Köpenick,August 7 2015,−31.9 °C (−25.4 °F),Blankenburg District of Pankow,January 19 1893,70.8 / 127.4
3,Brandenburg,39.2 °C (102.6 °F),Lübben-Blumenfelde and Cottbus,August 9 1992 and June 19 2022,−32.1 °C (−25.8 °F),Heinersdorf Großbeeren,January 19 1893,71.3 / 128.4
4,Bremen,37.6 °C (99.7 °F),Bremen Airport,August 9 1992,−23.6 °C (−10.5 °F),Bremen Airport,February 13 1940,61.2 / 110.2
5,Hamburg,40.1 °C (104.2 °F),Neuwiedenthal District of Neugraben-Fischbek,July 20 2022,−29.1 °C (−20.4 °F),Fuhlsbüttel Airport,February 13 1940,69.2 / 124.6
6,Hesse,40.2 °C (104.4 °F),Westend Frankfurt am Main,July 25 2019,−33.8 °C (−28.8 °F),Lahntal Gießen,January 22 1850,74.0 / 133.2
7,Lower Saxony,40.0 °C (104.0 °F),Hohenbostel (Barsinghausen),July 20 2022,−28.5 °C (−19.3 °F),Ricklingen Hanover,January 27 1942,68.5 / 123.3
8,Mecklenburg-Vorpommern,39.4 °C (102.9 °F),Boizenburg/Elbe,July 20 2022,−32.5 °C (−26.5 °F),Ueckermünde,February 11 1929,71.9 / 129.4
9,North Rhine-Westphalia,41.2 °C (106.2 °F),Duisburg (Baerl) & Tönisvorst,July 25 2019,−31.2 °C (−24.2 °F),Eslohe,January 27 1942,72.4 / 130.4
10,Rhineland-Palatinate,40.4 °C (104.7 °F),Andernach & Bad Neuenahr-Ahrweiler,July 25 2019,−27.5 °C (−17.5 °F),Birkenfeld,January 29 1895,67.9 / 122.2
11,Saarland,40.3 °C (104.5 °F),Nennig Perl,August 8 2003,−24.2 °C (−11.6 °F),Osterhof Sankt Wendel,January 13 1968,64.5 / 116.1
12,Saxony,39.8 °C (103.6 °F),Hosterwitz Dresden,August 20 2012,−34.1 °C (−29.4 °F),Bad Elster,February 12 1871,73.9 / 133.0
13,Saxony-Anhalt,40.0 °C (104.0 °F),Pabstorf (Huy),July 20 2022,−30.6 °C (−23.1 °F),Krüssau Möckern,February 12 1929,70.6 / 127.1
14,Schleswig-Holstein,39.1 °C (102.4 °F),Grambek near Mölln,July 20 2022,−30.9 °C (−23.6 °F),Heide (Holstein),February 13 1940,70.0 / 126.0
15,Thuringia,39.1 °C (102.4 °F),Jena Astronomical Observatory,July 20 2022,−33.5 °C (−28.3 °F),Gotha,February 11 1929,72.6 / 130.7
