Country,Code,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessiblity to services,Housing,Housing,Housing
Australia,AUS,8.2,8.3,6.0,9.8,  9,8.3,0.0,5.0,9.4,8.7,8.5
Austria,AUT,8.4,7.5,5.1,9.9,6.9,6.9,6.8,5.5,5.8,7.2,8.5
Belgium,BEL,7.6,6.3,4.6,9.6,6.7,6.7,10.0,6.9,7.9,6.9,7.3
Canada,CAN,9.6,7.2,5.1,9.3,7.7,9.2,7.1,8.3,0.0,8.1,8.1
Chile,CHL,5.9,4.1,1.0,8.8,7.9,0.0,0.4,2.9,2.2,5.2,4.6
Colombia,COL,3.4,0.9,0.9,0.0,4.3,5.2,3.4,1.2,0.0,3.1,3.5
Costa Rica,CRI,0.0,0.8,1.3,5.6,10.0,5.2,4.6,4.2,0.1,5.1,6.9
Czech Republic,CZE,10.0,9.1,3.3,9.6,3.1,5.2,3.5,5.2,3.6,8.2,7.3
Denmark,DNK,7.7,8.4,3.9,9.8,7.0,7.9,8.6,9.0,6.5,9.7,10.0
Estonia,EST,9.1,7.7,2.9,9.3,4.5,9.3,4.2,5.7,5.0,8.3,4.6
Finland,FIN,9.0,6.9,4.2,9.9,7.4,10.0,4.8,7.2,7.2,10.0,0.0
France,FRA,7.7,6.0,4.4,9.6,7.8,7.6,7.3,8.6,5.8,8.4,6.5
Germany,DEU,8.2,9.0,5.2,9.8,6.6,7.2,7.1,6.4,5.8,5.8,8.1
Greece,GRC,7.3,1.6,2.7,9.8,6.4,5.1,2.8,3.8,2.2,1.2,2.7
Hungary,HUN,8.5,8.4,2.7,9.8,0.4,5.2,5.5,8.3,4.3,8.1,3.8
Iceland,ISL,..,8.8,4.0,9.8,7.3,9.7,4.9,9.3,..,0.0,9.6
Ireland,IRL,8.7,7.0,4.3,9.8,8.0,8.4,4.0,7.0,7.9,8.1,7.7
Israel,ISR,8.7,7.2,2.1,9.5,8.3,2.9,5.2,6.9,1.4,8.0,8.5
Italy,ITA,4.1,3.8,4.0,9.9,8.1,5.1,6.2,6.0,2.9,5.7,5.4
Japan,JPN,..,9.5,4.5,9.8,4.3,5.9,2.4,6.3,6.4,5.4,3.8
Korea,KOR,9.9,7.3,4.0,9.6,9.3,0.0,4.7,4.6,4.3,0.0,3.5
Latvia,LVA,9.6,6.5,2.3,8.8,0.2,6.1,2.1,6.3,1.4,6.7,4.2
Lithuania,LTU,10.0,7.2,3.5,9.1,0.3,7.8,0.6,6.2,4.3,5.0,5.4
Luxembourg,LUX,7.4,7.3,7.2,10.0,7.7,8.1,10.0,8.8,7.2,6.6,8.5
Mexico,MEX,0.2,5.8,0.0,0.0,1.9,4.7,..,3.3,0.0,0.9,5.0
Netherlands,NLD,7.4,4.4,4.3,9.8,6.8,6.9,8.2,8.5,7.9,8.6,9.2
New Zealand,NZL,7.5,8.8,4.0,9.8,5.5,9.2,7.6,6.5,8.4,9.4,8.8
Norway,NOR,7.8,8.8,4.8,9.9,8.4,9.5,7.2,8.8,9.4,9.6,9.2
Poland,POL,9.8,8.2,3.2,9.6,1.5,3.2,3.7,7.7,1.4,5.1,4.2
Portugal,PRT,3.5,6.9,3.3,9.8,6.5,8.3,0.8,7.0,5.0,5.5,3.5
Slovak Republic,SVK,9.8,6.8,3.0,9.7,1.1,4.5,4.6,6.1,1.4,7.7,5.4
Slovenia,SVN,9.4,7.9,3.5,10.0,5.8,5.1,1.7,6.2,4.3,9.2,5.8
Spain,ESP,4.4,2.6,3.8,9.9,8.0,7.5,5.6,9.1,7.2,7.9,5.4
Sweden,SWE,8.7,6.9,4.4,9.7,8.6,9.6,9.4,7.9,5.8,8.2,9.2
Switzerland,CHE,8.7,9.0,10.0,9.9,8.7,7.8,0.0,9.8,5.8,8.8,9.6
Türkiye,TUR,0.1,1.5,0.7,7.2,4.4,0.8,9.0,4.0,0.0,0.9,0.0
United Kingdom,GBR,7.6,8.6,4.9,9.8,6.4,7.5,5.0,6.9,6.5,7.5,7.7
United States,USA,9.3,7.3,10.0,7.5,3.3,8.5,4.9,8.9,10.0,7.7,7.7
