GENESIS-Tabelle: 47311-0001
Unternehmenskennzahlen zur Versicherungswirtschaft:;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftszweige;;;;;;;;;;;;;;
Statistik d.Versicherungen,Pensionskassen u.-fonds;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;
;;;Unternehmen;Gebuchte Bruttobeiträge;Produktionswert;Bruttowertschöpfung zu Faktorkosten;Bruttobetriebsüberschuss;Waren- und Dienstleistungskäufe;Aufwendungen für Leiharbeitnehmer;Personalaufwendungen;Löhne und Gehälter;Sozialversicherungskosten;Tätige Personen;Lohn- und Gehaltsempfänger in Vollzeiteinheiten
;;;Anzahl;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Anzahl;Anzahl
2002;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;.;.;.;.;.;.;.;.;.;.;.;.
2002;WZ08-651;Versicherungen;409;147751;65850;33750;21421;32100;.;12329;.;.;211203;.
2002;WZ08-6511;Lebensversicherungen;111;64992;27410;15720;12232;11690;.;3488;.;.;49914;.
2002;WZ08-6512;Nichtlebensversicherungen;298;82759;38440;18030;9189;20410;.;8841;.;.;161289;.
2002;WZ08-65121;Krankenversicherungen;.;.;.;.;.;.;.;.;.;.;.;.
2002;WZ08-65122;Schaden- und Unfallversicherungen;.;.;.;.;.;.;.;.;.;.;.;.
2002;WZ08-652;Rückversicherungen;44;54699;16100;-1560;-2468;17660;.;908;.;.;6974;.
2002;WZ08-653;Pensionskassen und Pensionsfonds;.;.;.;.;.;.;.;.;.;.;.;.
2002;WZ08-653-01;Pensionskassen;.;.;.;.;.;.;.;.;.;.;.;.
2002;WZ08-653-02;Pensionsfonds;.;.;.;.;.;.;.;.;.;.;.;.
2003;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;.;.;.;.;.;.;.;.;.;.;.;.
2003;WZ08-651;Versicherungen;399;153971;72710;36590;23888;36120;.;12702;.;.;215935;.
2003;WZ08-6511;Lebensversicherungen;109;68028;27440;15060;11304;12380;.;3756;.;.;55874;.
2003;WZ08-6512;Nichtlebensversicherungen;290;85943;45270;21530;12585;23740;.;8945;.;.;160061;.
2003;WZ08-65121;Krankenversicherungen;.;.;.;.;.;.;.;.;.;.;.;.
2003;WZ08-65122;Schaden- und Unfallversicherungen;.;.;.;.;.;.;.;.;.;.;.;.
2003;WZ08-652;Rückversicherungen;46;52026;18590;-1350;-2243;19940;.;893;.;.;7058;.
2003;WZ08-653;Pensionskassen und Pensionsfonds;.;.;.;.;.;.;.;.;.;.;.;.
2003;WZ08-653-01;Pensionskassen;.;.;.;.;.;.;.;.;.;.;.;.
2003;WZ08-653-02;Pensionsfonds;.;.;.;.;.;.;.;.;.;.;.;.
2004;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;.;.;.;.;.;.;.;.;.;.;.;.
2004;WZ08-651;Versicherungen;396;157273;66190;27530;14716;38660;.;12814;10175;2638;206561;.
2004;WZ08-6511;Lebensversicherungen;108;68839;24070;9040;5162;15030;.;3878;3139;739;49465;.
2004;WZ08-6512;Nichtlebensversicherungen;288;88434;42120;18490;9554;23630;.;8936;7037;1899;157096;.
2004;WZ08-65121;Krankenversicherungen;.;.;.;.;.;.;.;.;.;.;.;.
2004;WZ08-65122;Schaden- und Unfallversicherungen;.;.;.;.;.;.;.;.;.;.;.;.
2004;WZ08-652;Rückversicherungen;44;47246;17850;740;-217;17110;.;957;.;.;9052;.
2004;WZ08-653;Pensionskassen und Pensionsfonds;.;.;.;.;.;.;.;.;.;.;.;.
2004;WZ08-653-01;Pensionskassen;.;.;.;.;.;.;.;.;.;.;.;.
2004;WZ08-653-02;Pensionsfonds;.;.;.;.;.;.;.;.;.;.;.;.
2005;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;956;213728;.;.;.;.;.;.;.;.;.;.
2005;WZ08-651;Versicherungen;715;162399;61130;25840;.;35290;.;.;.;.;191231;.
2005;WZ08-6511;Lebensversicherungen;102;72629;18200;6410;3022;11790;.;3388;.;.;49344;.
2005;WZ08-6512;Nichtlebensversicherungen;613;89770;42930;19430;.;23500;.;.;.;.;141887;.
2005;WZ08-65121;Krankenversicherungen;84;27444;.;.;.;.;.;.;.;.;37467;.
2005;WZ08-65122;Schaden- und Unfallversicherungen;529;62327;.;.;.;.;.;.;.;.;104420;.
2005;WZ08-652;Rückversicherungen;44;45416;14260;850;.;13410;.;.;.;.;9563;.
2005;WZ08-653;Pensionskassen und Pensionsfonds;197;5913;.;.;.;.;.;.;.;.;.;.
2005;WZ08-653-01;Pensionskassen;174;5377;.;.;.;.;.;.;.;.;.;.
2005;WZ08-653-02;Pensionsfonds;23;535;.;.;.;.;.;.;.;.;.;.
2006;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;928;215899;.;.;.;.;.;.;.;.;.;.
2006;WZ08-651;Versicherungen;692;165979;64050;27710;.;36340;.;.;.;.;179019;.
2006;WZ08-6511;Lebensversicherungen;102;74660;19950;6010;2869;13940;.;3141;.;.;48232;.
2006;WZ08-6512;Nichtlebensversicherungen;590;91319;44100;21700;.;22400;.;.;.;.;130787;.
2006;WZ08-65121;Krankenversicherungen;82;28568;.;.;.;.;.;.;.;.;36839;.
2006;WZ08-65122;Schaden- und Unfallversicherungen;508;62751;.;.;.;.;.;.;.;.;93948;.
2006;WZ08-652;Rückversicherungen;43;43334;20000;2310;933;17690;.;1377;.;.;10054;.
2006;WZ08-653;Pensionskassen und Pensionsfonds;193;6585;.;.;.;.;.;.;.;.;.;.
2006;WZ08-653-01;Pensionskassen;170;5572;.;.;.;.;.;.;.;.;.;.
2006;WZ08-653-02;Pensionsfonds;23;1013;.;.;.;.;.;.;.;.;.;.
2007;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;927;225292;.;.;7054;32500;.;.;.;.;.;.
2007;WZ08-651;Versicherungen;689;167399;66100;33600;.;10760;.;.;.;.;163185;.
2007;WZ08-6511;Lebensversicherungen;102;75170;20850;10090;.;21740;.;3036;.;.;40662;.
2007;WZ08-6512;Nichtlebensversicherungen;587;92229;45250;23510;.;.;.;.;.;.;122523;.
2007;WZ08-65121;Krankenversicherungen;82;29489;.;.;2390;.;.;.;.;.;39309;.
2007;WZ08-65122;Schaden- und Unfallversicherungen;505;62741;.;.;.;13750;.;.;.;.;83214;.
2007;WZ08-652;Rückversicherungen;41;39768;17250;3500;.;.;.;1110;.;.;10481;.
2007;WZ08-653;Pensionskassen und Pensionsfonds;197;18124;.;.;.;.;.;.;.;.;.;.
2007;WZ08-653-01;Pensionskassen;171;5437;.;.;.;.;.;.;.;.;.;.
2007;WZ08-653-02;Pensionsfonds;26;12687;.;.;.;.;.;.;.;.;.;.
2008;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;921;214667;100855;35831;25588;65024;.;10245;.;.;160062;148668
2008;WZ08-651;Versicherungen;684;168018;70748;23425;14476;47323;.;8949;.;.;147771;137155
2008;WZ08-6511;Lebensversicherungen;100;75933;26368;8652;6084;17716;.;2568;.;.;33864;31344
2008;WZ08-6512;Nichtlebensversicherungen;584;92085;44380;14773;8392;29607;.;6381;.;.;113907;105812
2008;WZ08-65121;Krankenversicherungen;80;30365;.;.;.;.;.;.;.;.;38990;35909
2008;WZ08-65122;Schaden- und Unfallversicherungen;504;61720;.;.;.;.;.;.;.;.;74917;69902
2008;WZ08-652;Rückversicherungen;41;38431;26167;9006;7812;17161;.;1194;.;.;10372;9857
2008;WZ08-653;Pensionskassen und Pensionsfonds;196;8218;3940;3400;3300;540;.;102;79;23;1919;1656
2008;WZ08-653-01;Pensionskassen;169;6130;.;.;.;.;.;.;.;.;1881;.
2008;WZ08-653-02;Pensionsfonds;27;2089;.;.;.;.;.;.;.;.;38;.
2009;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;894;228019;86690;22932;12803;63758;.;10132;.;.;148731;.
2009;WZ08-651;Versicherungen;658;176387;60793;13709;4830;47084;.;8879;.;.;136666;.
2009;WZ08-6511;Lebensversicherungen;99;81041;19279;2459;48;16820;.;2411;.;.;28099;.
2009;WZ08-6512;Nichtlebensversicherungen;559;95346;41514;11250;4782;30264;.;6468;.;.;108567;.
2009;WZ08-65121;Krankenversicherungen;75;31502;.;.;.;.;.;.;.;.;35242;.
2009;WZ08-65122;Schaden- und Unfallversicherungen;484;63843;.;.;.;.;.;.;.;.;73325;.
2009;WZ08-652;Rückversicherungen;38;40864;24027;7833;6684;16194;.;1149;.;.;10176;.
2009;WZ08-653;Pensionskassen und Pensionsfonds;198;10768;1870;1390;1290;480;.;103;78;25;1889;.
2009;WZ08-653-01;Pensionskassen;169;5899;.;.;.;.;.;.;.;.;1853;.
2009;WZ08-653-02;Pensionsfonds;29;4869;.;.;.;.;.;.;.;.;36;.
2010;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;874;236622;83286;18382;8147;64904;49;10235;8155;2082;152366;140654
2010;WZ08-651;Versicherungen;640;181307;59060;11839;3180;47221;40;8659;7032;1628;140055;129482
2010;WZ08-6511;Lebensversicherungen;97;86722;19339;2357;86;16982;5;2271;1856;415;28997;26896
2010;WZ08-6512;Nichtlebensversicherungen;543;94585;39721;9482;3094;30239;35;6388;5176;1213;111058;102586
2010;WZ08-65121;Krankenversicherungen;71;33283;.;.;.;.;12;1630;1315;315;35606;33665
2010;WZ08-65122;Schaden- und Unfallversicherungen;472;61302;.;.;.;.;23;4758;3861;898;75452;68921
2010;WZ08-652;Rückversicherungen;36;43307;22796;5593;4117;17203;8;1476;1046;431;10634;9742
2010;WZ08-653;Pensionskassen und Pensionsfonds;198;12007;1430;950;850;480;0;100;77;23;1677;1430
2010;WZ08-653-01;Pensionskassen;168;5863;.;.;.;.;0;96;74;22;1646;1401
2010;WZ08-653-02;Pensionsfonds;30;6145;.;.;.;.;-;4;3;1;31;29
2011;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;876;236440;87177;23869;13020;63308;43;10849;8497;2352;155007;143297
2011;WZ08-651;Versicherungen;646;181419;62832;16256;7193;46576;37;9064;7307;1756;141434;130928
2011;WZ08-6511;Lebensversicherungen;97;82747;21392;4229;1899;17163;8;2330;1893;437;27567;25336
2011;WZ08-6512;Nichtlebensversicherungen;549;98672;41440;12027;5294;29413;29;6733;5414;1319;113867;105592
2011;WZ08-65121;Krankenversicherungen;72;34684;.;.;.;.;6;1653;1328;325;36404;34101
2011;WZ08-65122;Schaden- und Unfallversicherungen;477;63987;.;.;.;.;23;5080;4087;994;77463;71491
2011;WZ08-652;Rückversicherungen;34;46719;21740;5506;3817;16234;6;1689;1111;577;11894;10891
2011;WZ08-653;Pensionskassen und Pensionsfonds;196;8302;2605;2107;2010;498;0;97;78;19;1679;1478
2011;WZ08-653-01;Pensionskassen;166;5920;.;.;.;.;0;95;76;19;1653;1455
2011;WZ08-653-02;Pensionsfonds;30;2382;.;.;.;.;0;3;2;0;26;23
2012;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;863;244652;89845;20683;9327;69162;41;11355;8887;2469;155434;142390
