gml_id,fid,name,adresse,oeffnungszeiten,telefon,internet,osm_edit_url,api_features_url
apotheken_nrw.126902508,"126902508",Residenz-Apotheke,"Homberger Straße 69, Moers","Mo-Fr 08:00-19:00; Sa 08:30-14:00","-","-",https://www.openstreetmap.org/edit?node=26902508%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/126902508.html
apotheken_nrw.130186305,"130186305",Forst-Apotheke,"Cranger Straße 334, Gelsenkirchen","Mo-Fr 08:00-13:00,15:00-18:30; We,Sa 08:00-13:00","-","-",https://www.openstreetmap.org/edit?node=30186305%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/130186305.html
apotheken_nrw.130187613,"130187613",Panda-Apotheke,Bismarckstraße 150,"Mo-Tu 08:30-18:30; Th-Fr 08:30-18:30; We 08:30-13:00; Sa 08:30-13:00","-","-",https://www.openstreetmap.org/edit?node=30187613%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/130187613.html
apotheken_nrw.130319492,"130319492",Apotheke am Hohenzollernpark,"-","Mo-Fr 08:00-18:30; Sa 09:00-13:00","-","-",https://www.openstreetmap.org/edit?node=30319492%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/130319492.html
apotheken_nrw.130790631,"130790631",Apotheke am Rathausplatz,"Kaiserwall 12, Recklinghausen","Mo-Fr 09:00-20:00; Sa 09:00-18:00","-","-",https://www.openstreetmap.org/edit?node=30790631%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/130790631.html
apotheken_nrw.130790647,"130790647",Kreuzapotheke,"Dortmunder Straße 120c, Recklinghausen","Mo-Fr 08:00-13:00,15:00-18:30; Sa 08:00-13:00","-","-",https://www.openstreetmap.org/edit?node=30790647%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/130790647.html
apotheken_nrw.130790704,"130790704",Glückauf-Apotheke,"-","Mo-Fr 08:00-18:30; We,Sa 08:00-13:00; Th 08:00-20:00","-","-",https://www.openstreetmap.org/edit?node=30790704%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/130790704.html
apotheken_nrw.130790756,"130790756",Sankt Paulus Apotheke,"Hohenzollernstraße 40, Recklinghausen","Mo-Fr 08:00-18:30; We 08:00-13:00; Sa 09:00-13:00","-","-",https://www.openstreetmap.org/edit?node=30790756%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/130790756.html
apotheken_nrw.130913750,"130913750",Hustadt-Apotheke,"Buscheyplatz 15, Bochum","Mo-Fr 08:30-18:30; Sa 08:30-13:00",+49 234 701691,https://www.hustadt-apotheke.de/,https://www.openstreetmap.org/edit?node=30913750%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/130913750.html
apotheken_nrw.133155110,"133155110",Westend-Apotheke,"-","Mo-Fr 08:00-19:00, Sa 08:30-14:00","-","-",https://www.openstreetmap.org/edit?node=33155110%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/133155110.html
apotheken_nrw.134495098,"134495098",Wickenburgapotheke,"Mülheimer Straße 120, Essen","-","-","-",https://www.openstreetmap.org/edit?node=34495098%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/134495098.html
apotheken_nrw.138451733,"138451733",Neue Apotheke,"Begastraße 12, Bad Salzuflen","-","-","-",https://www.openstreetmap.org/edit?node=38451733%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/138451733.html
apotheken_nrw.141740072,"141740072",Marienapotheke,"Rurdorfer Straße 56, Linnich","-",+49 2462 8033,"-",https://www.openstreetmap.org/edit?node=41740072%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/141740072.html
apotheken_nrw.143652535,"143652535",Fortuna-Apotheke,"-","Mo-Fr 08:30-18:30; Sa 09:00-13:00",+49 251 36647,http://www.fortuna-apotheke-ms.de/,https://www.openstreetmap.org/edit?node=43652535%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/143652535.html
apotheken_nrw.143652541,"143652541",Marien-Apotheke,"-","Mo-Fr 08:30-13:00, 15:00-18:30; Sa 09:00-13:00","-","-",https://www.openstreetmap.org/edit?node=43652541%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/143652541.html
