city,number of pharmecies
Berlin,1189
Düsseldorf,103
Essen,94
Bonn,86
Bochum,80
Dortmund,69
Duisburg,64
Berlin,64
Bielefeld,62
Aachen,46
Münster,46
Krefeld,39
Gelsenkirchen,37
Leverkusen,32
Paderborn,29
Oberhausen,29
Herne,27
Neuss,24
Recklinghausen,24
Solingen,22
Mülheim,21
Gütersloh,20
Weingarten,19
Wuppertal,18
Bottrop,17
Herten,17
Leverkusen,16
Remscheid,16
Dresden,15
Hagen,15
Bochum,15
Bochum,15
Dortmund,15
Gütersloh,14
Asperg,14
Karlsruhe,14
Gladbeck,13
Göttingen,13
Wiesbaden,13
Darmstadt,13
Moers,13
Mönchengladbach,12
Ulm,12
Herten,12
Gelsenkirchen,12
Essen,12
Siegburg,12
Aachen,12
Moers,12
Düsseldorf,11
Ulm,11
Hilden,11
Bremen,11
Gelsenkirchen,11
Munich,11
Hilden,11
Heidelberg,11
Reutlingen,11
Leverkusen,11
Göttingen,11
Siegen,10
Kiel,10
Saarbrücken,10
Wuppertal,10
Hagen,10
Fürth,10
Wiesbaden,10
Gelsenkirchen,9
Bergisch Gladbach,9
Hattersheim,9
Bottrop,9
Hamm,8
Ingolstadt,8
Potsdam,8
Krefeld,8
Schwerin,8
Halle,8
Haar,8
Saarbrücken,8
Bremen,8
Nuremberg,7
Ottobrunn,7
Duisburg,7
Bremen,7
Oberhausen,7
Erlangen,7
Ludwigshafen,7
Berlin,7
Schwerin,7
Osnabrück,7
Lübeck,7
Fürth,7
Mannheim,7
Wiesbaden,7
Haar,6
Kiel,6
Munich,6
Würzburg,6
Bochum,6
Bad Soden am Taunus,6
Munich,6
Göttingen,6
Paderborn,6
Bochum,6
Nuremberg,6
Braunschweig,6
Hilden,6
Bottrop,6
Gelsenkirchen,6
Eppelheim,6
Trier,6
Lübeck,6
Herne,5
Steinbach am Taunus,5
Lübeck,5
Oldenburg,5
Mülheim,5
Salzgitter,5
Erlangen,5
Herne,5
Dresden,5
Oldenburg,5
Recklinghausen,5
Nuremberg,5
Bremen,5
Jena,5
Hamm,5
Gelsenkirchen,5
Kiel,5
Schwerin,5
Gelsenkirchen,5
Hagen,5
Erfurt,5
Dresden,5
Kassel,5
Remscheid,5
Moers,5
Schwerin,5
Fürth,5
Solingen,4
Reutlingen,4
Trier,4
Glinde,4
Remscheid,4
Göttingen,4
Oberhausen,4
Halle-Neustadt,4
Dortmund,4
Bad Soden am Taunus,4
Leverkusen,4
Fürth,4
Siegburg,4
Heidelberg,4
Mannheim,4
Hagen,4
Remscheid,4
Erlangen,4
Gelsenkirchen,4
Erlangen,4
Heidelberg,4
Bad Soden am Taunus,4
Asperg,4
Eilendorf,3
Oldenburg,3
Herne,3
Gelsenkirchen,3
Wiesbaden,3
Nuremberg,3
Recklinghausen,3
Steinbach am Taunus,3
Wuppertal,3
Herten,3
Siegen,3
Schwerin,3
Rosenheim,3
Glinde,3
Ottobrunn,3
Kornwestheim,3
Düsseldorf,3
Aachen,3
Gütersloh,3
Rostock,3
