"Jahr";"Total";"Agriculture, forestry and fishing";"Manufacturing industry, excl. construction";"Construction";"Service industries"
1992;-1.3;-11.7;-7.4;3.9;1.4
1993;-1.3;-7.6;-6.7;3.8;0.6
1994;0;-4;-4.9;4.5;1.6
1995;0.4;-6;-2.3;2;1.4
1996;0;-6.5;-2.5;-3;1.6
1997;0;-3.1;-1.9;-3.5;1.1
1998;1.2;-0.8;0.4;-3.2;2
1999;1.6;-0.8;-0.6;-1.6;2.8
2000;2.2;-0.8;0.8;-2.5;3.2
2001;-0.3;-4.3;-0.1;-6.7;0.4
2002;-0.5;-2.6;-2.1;-5.5;0.5
2003;-1.1;-1.3;-2.7;-4.7;-0.3
2004;0.3;-0.4;-1.4;-3.3;1.1
2005;-0.1;-3.3;-1.7;-3.4;0.6
2006;0.7;-2.4;-1.1;-0.2;1.4
2007;1.7;0;1.4;1.7;1.8
2008;1.4;-0.9;2.3;-0.4;1.4
2009;0.2;-0.8;-2.2;0.5;0.8
2010;0.4;-1.1;-1.8;0.8;0.9
2011;1.2;0.8;1.9;1.8;1
2012;1.1;-0.5;1.7;1.4;1
2013;0.8;-0.9;0.4;0.6;0.9
2014;0.9;-0.5;0.6;0.5;1
2015;0.9;-0.8;0.2;0;1.2
2016;1.2;-1.6;0.3;1;1.6
2017;1.4;-1.3;0.9;1.2;1.5
2018;1.4;-1.1;1.7;1.5;1.4
2019;0.9;-1.6;0.7;1.4;1
2020;-0.8;-3;-2.3;1.6;-0.6
2021;0.2;-3.4;-1.3;1;0.5
2022;1.4;-0.5;0.4;0.5;1.7
2023;0.7;-0.5;0.3;0.5;0.9
