"Monat";"Change on the same month year earlier";"Change on the previous month (seasonally adjusted)";"Change on the previous month"
"December 2017";1.541708727;0.20715122;-0.61079673
"January 2018";1.495613935;0.065162682;0.122006326
"February 2018";1.399671203;0.101048661;0.214379203
"March 2018";1.418068422;0.123379245;0.331013984
"April 2018";1.437264429;0.132189187;0.26707963
"May 2018";1.31725123;0.044750738;0.029099049
"June 2018";1.309647891;0.100644122;0.053705693
"July 2018";1.335838975;0.111714369;0.100644122
"August 2018";1.237651612;0.004463588;0.518354671
"September 2018";1.253003391;0.089267781;0.226722088
"October 2018";1.259045187;0.147160472;0.239515646
"November 2018";1.201383275;0.060113548;-0.292041859
"December 2018";1.156800723;0.115704686;-0.654580957
"January 2019";1.173444058;0.091123261;0.138479407
"February 2019";1.130401495;0.097701787;0.171744658
"March 2019";1.104228387;0.115353047;0.305047761
"April 2019";0.978175713;0.015510403;0.14207068
"May 2019";0.915234515;-0.017723426;-0.033250576
"June 2019";0.870012525;0.059827166;0.00886977
"July 2019";0.741783408;-0.028788449;-0.026606949
"August 2019";0.775745182;0.033227007;0.552241123
"September 2019";0.76068395;0.064217542;0.211742909
"October 2019";0.665943937;0.070815261;0.14526566
"November 2019";0.659018794;0.039805396;-0.298901099
"December 2019";0.649959796;0.072947522;-0.663521735
"January 2020";0.593299728;0.041969473;0.082107272
"February 2020";0.215982721;-0.264959152;-0.203991131
"March 2020";-0.688154857;-0.770422847;-0.599893352
"April 2020";-1.174853697;-0.457364687;-0.348696857
"May 2020";-1.153070049;-0.004482596;-0.011215289
"June 2020";-1.181791978;0.031379581;-0.020189784
"July 2020";-1.080086052;0.071702256;0.07628792
"August 2020";-1.038863646;0.073889971;0.59414376
"September 2020";-1.041070564;0.053698483;0.209508102
"October 2020";-1.213186813;-0.089449439;-0.028913948
"November 2020";-1.232254651;0.008952952;-0.318145412
"December 2020";-1.391385394;-0.118615997;-0.823568798
"January 2021";-1.476718404;-0.040332519;-0.004500855
"February 2021";-1.106469961;0.116563179;0.171040194
"March 2021";-0.297286423;0.060452724;0.213435183
"April 2021";0.226548831;0.071604386;0.174868288
"May 2021";0.493528053;0.250436027;0.255130587
"June 2021";0.634984742;0.185127359;0.120543786
"July 2021";0.708488409;0.140258699;0.149383514
"August 2021";0.739964785;0.097821254;0.625584398
"September 2021";0.760659238;0.071073205;0.230093586
"October 2021";0.974459375;0.142045455;0.183210825
"November 2021";1.095859837;0.119680851;-0.198299035
"December 2021";1.390764245;0.161597379;-0.534263511
"January 2022";1.532610163;0.101664199;0.135393084
"February 2022";1.57043361;0.141302188;0.208356422
"March 2022";1.573814595;0.079370329;0.216770997
"April 2022";1.586733209;0.092525279;0.187608979
"May 2022";1.408576467;0.052822714;0.079309129
"June 2022";1.172772068;-0.035196551;-0.112265563
"July 2022";1.144307405;0.114429065;0.121206779
"August 2022";1.132768424;0.090119793;0.614104596
"September 2022";1.156656292;0.096626845;0.25376824
"October 2022";1.062001498;0.054848618;0.089466908
"November 2022";1.026580714;0.083324197;-0.233278102
"December 2022";0.952190704;0.06791841;-0.607504207
"January 2023";0.953119805;0.109471472;0.136314667
"February 2023";0.920170762;0.100603622;0.175650456
"March 2023";0.87182996;0.037142233;0.168767123
"April 2023";0.815121607;0.039312469;0.131285283
"May 2023";0.783657656;0.010915839;0.048074822
"June 2023";0.819798576;0.013097577;-0.07644592
"July 2023";0.655925339;-0.050200803;-0.041530962
"August 2023";0.538163681;-0.019653659;0.496391865
"September 2023";0.471337858;0.028394199;0.187131449
"October 2023";0.470916543;0.058955827;0.089047195
"November 2023";0.443609187;0.056738827;-0.260394063
"December 2023";0.510080689;0.122137405;-0.541728309
"January 2024";0.425952355;0.030497103;0.05249918
