State,Social Democratic Party of Germany,Union Parties (CDU/CSU),Alliance 90/The Greens,Free Democratic Party,Alternative for Germany,The Left,Others
Schleswig-Holstein,28,22,18.3,12.5,6.8,3.6,8.7
Mecklenburg-Vorpommern,29.1,17.4,7.8,8.2,18,11.1,8.4
Hamburg,29.7,15.4,24.9,11.4,5,6.7,6.9
Lower Saxony,33.1,24.2,16.1,10.5,7.4,3.3,5.4
Bremen,31.5,17.2,20.9,9.3,6.9,7.7,6.4
Brandenburg,29.5,15.3,9,9.3,18.1,8.5,10.3
Saxony-Anhalt,25.4,21,6.5,9.5,19.6,9.6,8.4
Berlin,22.2,17.2,22,8.1,9.4,11.5,9.4
North Rhine-Westphalia,29.1,26,16.1,11.4,7.3,3.7,6.5
Saxony,19.3,17.2,8.6,11,24.6,9.3,9.9
Hesse,27.6,22.8,15.8,12.8,8.8,4.3,7.9
Thuringia,23.4,16.9,6.6,9,24,11.4,8.7
Rhineland-Palatinate,29.4,24.7,12.6,11.7,9.2,3.3,9.2
Bavaria,18,31.7,14.1,10.5,9,2.8,13.9
Baden-Württemberg,21.6,24.8,17.2,15.3,9.6,3.3,8.2
Saarland,37.3,23.6,0.5,11.5,10,7.2,10.5
