Rank,Nationality,Population (31.12.2022)
,Total,"13,383,910"
1, Turkey,"1,487,110"
2, Ukraine,"1,164,200"
3, Syria,"923,805"
4, Romania,"883,670"
5, Poland,"880,780"
6, Italy,"644,970"
7, Croatia,"436,325"
8, Bulgaria,"429,665"
9, Afghanistan,"377,240"
10, Greece,"361,270"
11, Russia,"290,615"
12, Iraq,"284,595"
13, Kosovo,"280,850"
14, Serbia,"251,365"
15, Bosnia and Herzegovina,"233,775"
16, Hungary,"214,695"
17, India,"210,385"
18, Spain,"193,460"
19, Austria,"185,755"
20, Netherlands,"150,295"
21, China,"149,550"
22, North Macedonia,"146,380"
23, Iran,"143,555"
24, France,"140,320"
25, Portugal,"139,435"
26, United States,"121,420"
27, Vietnam,"120,535"
28, Albania,"108,555"
29, Morocco,"95,095"
30, United Kingdom,"84,605"
