State,Capital,Area (km^2),"Population December 31, 2022",Foreigners,Population density (per km^2)
North Rhine-Westphalia,Düsseldorf,"34,112","18,139,116 ","2,828,367 ",532
Bavaria,Munich,"70,541","13,369,116 ","2,073,494 ",190
Baden-Württemberg,Stuttgart,"35,748","11,280,257 ","2,012,237 ",316
Lower Saxony,Hanover,"47,709","8,140,242 ","959,786 ",171
Hesse,Wiesbaden,"21,116","6,391,360 ","1,199,775 ",303
Rhineland-Palatinate,Mainz,"19,858","4,159,150 ","566,026 ",209
Saxony,Dresden,"18,450","4,086,152 ","300,164 ",221
Berlin,Berlin,891,"3,755,251 ","834,349 ","4,215"
Schleswig-Holstein,Kiel,"15,804","2,953,270 ","299,787 ",187
Brandenburg,Potsdam,"29,654","2,573,135 ","179,872 ",87
Saxony-Anhalt,Magdeburg,"20,454","2,186,643 ","160,990 ",107
Thuringia,Erfurt,"16,202","2,126,846 ","161,291 ",131
Hamburg,Hamburg,755,"1,892,122 ","363,283 ","2,506"
Mecklenburg-Vorpommern,Schwerin,"23,295","1,628,378 ","105,437 ",70
Saarland,Saarbrücken,"2,571","992,666 ","139,189 ",386
Bremen,Bremen,419,"684,864 ","144,148 ","1,634"
Germany,Berlin,"357,582","84,358,845 ","12,324,195 ",236
