Name,Beds,Price
Ludwigshafen,1,1450
Dortmund,1,1070
Dortmund,1,1450
Dortmund,1,1070
Dortmund,1,1839
Dortmund,1,1839
Dortmund,2,1300
Dortmund,1,1290
Dortmund,1,1149
Dortmund,1,1190
Dortmund,1,893
Dortmund,1,1070
Dortmund,1,1070
Dortmund,1,893
Dortmund,1,952
Dortmund,1,1070
Dortmund,1,1070
Dortmund,1,1075
Dortmund,1,1070
Dortmund,1,963
Dortmund,1,893
Dresden,1,1495
Dresden,1,1487
Dresden,1,1177
Dresden,1,1594
Dresden,1,1356
Dresden,1,1695
Dresden,2,1900
Dresden,1,1273
Dresden,1,1594
Dresden,1,2423
Dresden,1,1350
Dresden,1,1500
Dresden,1,1900
Dresden,1,1480
Dresden,1,1584
Dresden,1,1177
Dresden,1,2390
Dresden,1,1594
Dresden,1,1794
Dresden,2,1284
"Berlin,",2,3279
Frankfurt,2,2239
Frankfurt,1,2099
Frankfurt,1,2099
Frankfurt,1,1599
Frankfurt,1,1599
Frankfurt,1,1489
Frankfurt,1,1419
Frankfurt,1,1800
Berlin,1,2300
Berlin,1,1284
Frankfurt,1,2150
Bensheim,2,1590
Erlangen,1,975
Berlin,1,2183
Berlin,1,2290
Berlin,1,2100
Berlin,1,665
Berlin,5,705
Berlin,5,755
"Berlin,",2,3279
Frankfurt,2,2239
Frankfurt,1,2099
Frankfurt,1,2099
Frankfurt,1,1599
Frankfurt,1,1599
Frankfurt,1,1489
Frankfurt,1,1419
Frankfurt,1,1800
Berlin,1,2300
Berlin,1,1284
Frankfurt,1,2150
Bensheim,2,1590
Erlangen,1,975
Berlin,1,2183
Berlin,1,2290
Berlin,1,2100
Berlin,1,665
Berlin,5,705
Berlin,5,755
Bielefeld,1,1200
Bielefeld,1,1493
Bielefeld,2,2083
Bielefeld,1,1800
Bielefeld,1,1995
"Berlin,",2,3279
Frankfurt,2,2239
Frankfurt,1,2099
Frankfurt,1,2099
Frankfurt,1,1599
Frankfurt,1,1599
Frankfurt,1,1489
Frankfurt,1,1419
Frankfurt,1,1800
Berlin,1,2300
Berlin,1,1284
Frankfurt,1,2150
Bensheim,2,1590
Erlangen,1,975
Berlin,1,2183
Berlin,1,2290
Berlin,1,2100
Berlin,1,665
Berlin,5,705
Berlin,5,755
Munich,4,1170
Munich,3,995
Munich,5,920
