Holiday,Local name (in German),Date, BW, BY, BE, BB, HB, HH, HE, MV, NI, NW, RP, SL, SN, ST, SH, TH
New Year's Day,Neujahrstag,1-Jan,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Epiphany,Heilige Drei Könige,6-Jan,✔,✔,,,,,,,,,,,,✔,,
International Women's Day[1],Internationaler Frauentag,8-Mar,,,✔,,,,,✔,,,,,,,,
Good Friday,Karfreitag,Easter Sunday – 2d,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Easter Monday,Ostermontag,Easter Sunday + 1d,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Labour Day,Tag der Arbeit,1-May,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Ascension Day,Christi Himmelfahrt,Easter Sunday + 39d,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Whit Monday,Pfingstmontag[2],Easter Sunday + 50d,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Corpus Christi,Fronleichnam,Easter Sunday + 60d,✔,✔,,,,,✔,,,✔,✔,✔,[a],,,[b]
Augsburg Peace Festival,Augsburger Friedensfest,8-Aug,,[c],,,,,,,,,,,,,,
Assumption Day,Mariä Himmelfahrt,15-Aug,,✔[d][e],,,,,,,,,,✔,,,,
World Children's Day,Weltkindertag,20-Sep,,,,,,,,,,,,,,,,✔[f][3]
German Unity Day,Tag der Deutschen Einheit,3-Oct,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Reformation Day[g],Reformationstag,31-Oct,,,,✔,✔[h][4],✔[h][5],,✔,✔[h][6],,,,✔,✔,✔[h][7],✔
All Saints' Day,Allerheiligen,1-Nov,✔,✔,,,,,,,,✔,✔,✔,,,,
Repentance and Prayer Day[i],Buß- und Bettag,Wednesday before Totensonntag,,[e],,,,,,,,,,,✔,,,
Christmas Day,Weihnachtstag,25-Dec,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Second Day of Christmas,Zweiter Weihnachtsfeiertag,26-Dec,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Total number of holidays per state[j],,,12,13,10,10,10,10,10,11,10,11,11,12,11,11,10,11[f]
