,Region,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessibility to services,Housing,Community,Life satisfaction,Cluster
0,Baden-Württemberg,8.0,9.5,5.1,9.8,8.0,7.6,7.7,6.6,4.6,5.3,8.5,0
1,Bavaria,8.8,9.8,5.2,9.8,7.5,7.5,8.1,6.6,4.6,5.2,7.7,0
2,Berlin,8.6,8.0,4.1,9.7,7.1,5.8,7.1,7.2,5.1,8.0,7.3,0
3,Brandenburg,9.5,9.4,4.1,9.9,6.7,7.0,7.2,5.7,5.7,6.9,8.1,2
4,Bremen,7.2,7.5,4.2,9.7,6.2,6.4,6.3,6.4,5.1,7.3,4.6,0
5,Hamburg,8.4,8.7,5.1,9.7,7.3,7.1,7.7,7.2,5.1,3.9,8.8,0
6,Hesse,7.8,8.6,4.8,9.7,7.3,7.7,7.3,6.9,4.6,7.1,6.2,0
7,Mecklenburg-Vorpommern,9.4,9.1,3.9,9.8,6.5,7.7,6.2,5.2,6.2,8.5,7.7,2
8,Lower Saxony,7.9,9.1,4.4,9.8,6.7,7.6,7.0,6.4,5.1,6.8,8.8,0
9,North Rhine-Westphalia,7.7,8.3,4.5,9.9,6.7,6.9,7.4,6.8,5.1,6.0,8.5,0
10,Rhineland-Palatinate,8.0,8.9,4.6,9.9,7.0,8.1,7.5,6.5,5.1,7.2,8.1,0
11,Saarland,8.0,8.8,4.1,9.7,6.2,8.0,7.6,5.7,5.1,9.9,8.1,2
12,Saxony,9.9,9.4,4.0,9.8,6.8,7.2,7.4,5.9,6.2,6.4,6.9,2
13,Saxony-Anhalt,9.5,8.7,3.9,9.5,5.7,7.3,5.4,4.9,6.8,5.3,7.7,1
14,Schleswig-Holstein,8.7,9.2,4.6,9.8,7.0,7.7,7.7,7.0,5.7,4.1,8.5,0
15,Thuringia,9.7,9.4,3.9,9.8,6.5,7.6,7.0,5.2,6.2,9.3,8.1,2
